iter	Logloss
0	0.6728645109
1	0.6553305516
2	0.6388503241
3	0.6231926349
4	0.6103800899
5	0.5983272701
6	0.5836683157
7	0.575090102
8	0.5668675885
9	0.5572453015
10	0.5505845044
11	0.5448894636
12	0.5397302214
13	0.5336853884
14	0.5274632973
15	0.5208103113
16	0.5167316156
17	0.5127922916
18	0.506731268
19	0.5024130616
20	0.4967549235
21	0.4945449914
22	0.4927910096
23	0.4907504822
24	0.4868693556
25	0.4850485941
26	0.4825935222
27	0.4798847464
28	0.4787405774
29	0.4765877495
30	0.4743723422
31	0.47041479
32	0.4684833455
33	0.4657506982
34	0.4635928954
35	0.4607103121
36	0.4597525999
37	0.4586745231
38	0.4575633745
39	0.4564659823
40	0.4557730694
41	0.4544628631
42	0.4524309138
43	0.4521503806
44	0.4507047887
45	0.4492677958
46	0.4486505037
47	0.4480167743
48	0.4460584117
49	0.4453283246
50	0.4433043325
51	0.4406937264
52	0.4391626179
53	0.4390704352
54	0.4371229779
55	0.4353640923
56	0.4348387108
57	0.4335202932
58	0.4332686199
59	0.4297805852
60	0.4292544091
61	0.4282772157
62	0.4281067948
63	0.426622773
64	0.4263153748
65	0.4253229106
66	0.4248641043
67	0.4234503196
68	0.4230609559
69	0.4218526165
70	0.4191709128
71	0.4191215077
72	0.4170941495
73	0.4152264876
74	0.4143949786
75	0.4124737457
76	0.4119202706
77	0.4108182246
78	0.4090976008
79	0.4086460773
80	0.4081637923
81	0.4077028258
82	0.4074524654
83	0.4050535614
84	0.4046789565
85	0.4017891509
86	0.401715304
87	0.4008434278
88	0.3997893338
89	0.3990111248
90	0.3972154612
91	0.3969715687
92	0.3964267416
93	0.3958321192
94	0.3957585388
95	0.3953775038
96	0.3944455725
97	0.3943158063
98	0.3925056041
99	0.3922035851
100	0.3917194622
101	0.3915766728
102	0.3912818624
103	0.3905657088
104	0.3905037172
105	0.3905027564
106	0.3904019989
107	0.3896912545
108	0.3894904203
109	0.3882994046
110	0.3877087939
111	0.3866720126
112	0.3865750213
113	0.3863801744
114	0.3859761262
115	0.3853249553
116	0.3841313413
117	0.3840819895
118	0.3839106593
119	0.3837538734
120	0.3832092148
121	0.3831654875
122	0.3824112592
123	0.3814100513
124	0.3807147918
125	0.3796970418
126	0.3795752886
127	0.3793586872
128	0.3791734
129	0.3789970723
130	0.3789500266
131	0.3778924806
132	0.3777373542
133	0.3770961398
134	0.3756898608
135	0.3756898581
136	0.3749511805
137	0.3749511716
138	0.3739812268
139	0.373951839
140	0.3739333181
141	0.3737422391
142	0.3733116347
143	0.3725848714
144	0.370936729
145	0.3699245776
146	0.3694708981
147	0.3682776955
148	0.3680136252
149	0.3679931518
150	0.3676638919
151	0.3661751901
152	0.365643883
153	0.3655046008
154	0.3643344203
155	0.3642155055
156	0.3641434006
157	0.3640917849
158	0.3627680033
159	0.3625591932
160	0.3624218605
161	0.362017157
162	0.3603492628
163	0.3601011286
164	0.3596406129
165	0.3593568898
166	0.3590610259
167	0.3572610417
168	0.356173669
169	0.3554644774
170	0.3551032301
171	0.3549555672
172	0.3544065389
173	0.3541711313
174	0.3537482486
175	0.3530036718
176	0.352648506
177	0.3517980961
178	0.3515694725
179	0.3514681784
180	0.3499119896
181	0.349601693
182	0.3489976185
183	0.3488009954
184	0.3481650764
185	0.3477193242
186	0.3474702552
187	0.3473170338
188	0.3471454524
189	0.3469539994
190	0.3462191413
191	0.346047866
192	0.3458454581
193	0.3448110554
194	0.3446434838
195	0.3433094794
196	0.3428887808
197	0.3427277737
198	0.3421923172
199	0.3410389443
200	0.3406925343
201	0.3403455105
202	0.340280648
203	0.340060292
204	0.3399530074
205	0.3398951884
206	0.339856362
207	0.3386537725
208	0.3385121856
209	0.3382119378
210	0.3373991335
211	0.3366586456
212	0.3357398785
213	0.3352434066
214	0.3350983841
215	0.3345669727
216	0.3338645518
217	0.3337883204
218	0.3336281444
219	0.3335879805
220	0.332741136
221	0.3326552977
222	0.3325758851
223	0.3317427306
224	0.3308200893
225	0.3302858517
226	0.3301762941
227	0.3299577075
228	0.3293262838
229	0.3292909241
230	0.3292148348
231	0.3287879816
232	0.3287054031
233	0.3284899718
234	0.328458853
235	0.3283097922
