iter	Passed	Remaining
0	6	3396
1	15	3775
2	23	3914
3	31	3950
4	37	3739
5	44	3695
6	52	3692
7	58	3585
8	66	3628
9	74	3658
10	78	3504
11	82	3373
12	87	3267
13	94	3270
14	100	3248
15	105	3190
16	110	3149
17	115	3091
18	119	3012
19	122	2951
20	126	2889
21	128	2794
22	130	2705
23	133	2647
24	136	2592
25	139	2536
26	141	2481
27	144	2432
28	147	2390
29	149	2345
30	152	2300
31	155	2267
32	158	2238
33	161	2211
34	164	2181
35	166	2149
36	170	2139
37	175	2128
38	180	2134
39	187	2150
40	191	2144
41	197	2153
42	202	2156
43	205	2130
44	211	2135
45	215	2130
46	220	2125
47	224	2114
48	228	2101
49	232	2088
50	235	2072
51	238	2054
52	241	2036
53	242	2004
54	245	1985
55	248	1967
56	250	1948
57	253	1928
58	254	1899
59	256	1879
60	258	1860
61	260	1841
62	261	1815
63	263	1795
64	264	1773
65	266	1755
66	268	1733
67	270	1715
68	271	1698
69	273	1682
70	275	1665
71	276	1643
72	278	1628
73	280	1612
74	281	1597
75	283	1582
76	284	1565
77	286	1551
78	288	1538
79	290	1525
80	292	1512
81	294	1499
82	295	1486
83	297	1474
84	299	1462
85	301	1450
86	302	1435
87	304	1425
88	306	1414
89	307	1400
90	309	1390
91	311	1380
92	313	1370
93	314	1360
94	316	1350
95	318	1341
96	320	1331
97	321	1320
98	323	1308
99	324	1299
100	327	1292
101	328	1280
102	330	1272
103	332	1264
104	333	1253
105	334	1241
106	335	1230
107	337	1223
108	339	1217
109	341	1210
110	343	1204
111	345	1196
112	347	1189
113	349	1182
114	351	1176
115	353	1169
116	355	1162
117	356	1155
118	358	1149
119	360	1142
120	362	1136
121	364	1129
122	366	1123
123	368	1117
124	370	1110
125	372	1105
126	374	1100
127	376	1094
128	378	1088
129	380	1082
130	382	1077
131	384	1071
132	386	1066
133	388	1061
134	390	1056
135	391	1048
136	393	1042
137	394	1034
138	396	1029
139	397	1021
140	398	1014
141	400	1009
142	402	1004
143	404	1000
144	406	996
145	408	991
146	410	986
147	412	982
148	414	977
149	416	971
150	418	966
151	420	962
152	422	958
153	424	953
154	426	949
155	428	945
156	430	940
157	432	936
158	435	933
159	437	929
160	439	925
161	441	920
162	443	917
